date,total_downloads,latest_tag,latest_downloads
2026-09-07,105,v0.9.0,0
2026-09-08,109,v0.10.0,2
2026-09-09,111,v0.10.0,3
2026-09-10,111,v0.10.0,3
2026-09-11,112,v0.10.0,4
2026-09-12,113,v0.10.0,5
2026-09-13,113,v0.10.0,5
2026-09-14,113,v0.10.0,5
2026-09-15,116,v0.10.0,6
2026-09-16,117,v0.10.0,6
2026-09-17,119,v0.10.0,8
2026-09-18,119,v0.10.0,8
2026-09-19,122,v0.10.0,11
2026-09-20,123,v0.10.0,12
2026-09-21,123,v0.10.0,12
2026-09-22,124,v0.10.0,13
2026-09-23,124,v0.10.0,13
2026-09-24,124,v0.10.0,13
